basin, number, time, tech, forecastHr, lat , lon, vmax, mslp, 
basin, number, time, tech, model, forecastHr, lat , lon, vmax, mslp, 
WP, 19, 2006100100, 03, EE45,  48, 153N, 1026E,  18, 1000, XX
WP, 19, 2006100100, 03, EE45,  60, 155N, 1006E,  18, 1001, XX
WP, 19, 2006100100, 03, EE45,  72, 151N,  979E,  27, 1002, XX
WP, 19, 2006100100, 03, EE45,  84, 152N,  969E,  42,  998, XX
WP, 19, 2006100100, 03, EE45,  96, 155N,  967E,  49,  996, XX
WP, 19, 2006100100, 03, EE45, 108, 158N,  973E,  30,  997, XX
WP, 19, 2006100100, 03, EE45, 120, 167N,  974E,  24, 1002, XX
WP, 19, 2006100100, 03, EE46,   0, 159N, 1086E,  46,  982, XX
WP, 19, 2006100100, 03, EE46,  12, 157N, 1068E,  33,  991, XX
WP, 19, 2006100100, 03, EE46,  24, 159N, 1049E,  31,  994, XX
WP, 19, 2006100100, 03, EE46,  36, 160N, 1029E,  19, 1000, XX
WP, 19, 2006100100, 03, EE46,  48, 161N, 1006E,  23, 1004, XX
WP, 19, 2006100100, 03, EE46,  60, 166N, 1000E,  17, 1005, XX
WP, 19, 2006100100, 03, EE46,  72, 168N,  973E,  12, 1006, XX
WP, 19, 2006100100, 03, EE47,   0, 159N, 1086E,  47,  982, XX
WP, 19, 2006100100, 03, EE47,  12, 153N, 1070E,  39,  992, XX
WP, 19, 2006100100, 03, EE47,  24, 150N, 1054E,  27,  994, XX
